Brand,Product Name,Current Price,Original Price,Shipping,Link
ASUS,"ASUS Dual NVIDIA GeForce RTX 3060 Ti V2 OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6 Memory, LHR, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, Dual BIOS, Protective Backplate)","$1,129.00",,Get it ,https://www.amazon.ca/Graphics-DisplayPort-Axial-tech-Protective-Backplate/dp/B098682XKX
EVGA,"EVGA GeForce RTX 3080 12GB XC3 Ultra Gaming, 12G-P5-4865-KL, 12GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate, LHR","$1,998.99",,Get it ,https://www.amazon.ca/EVGA-GeForce-12G-P5-4865-KL-Cooling-Backplate/dp/B09QL5BRZH
MSI,"MSI GeForce RTX 3080 Gaming Z Trio 12G LHR Gaming Graphics Card - NVIDIA LHR, 12GB Memory V389-402R Black","$2,343.35",,Get it ,https://www.amazon.ca/MSI-GeForce-3080-Gaming-Graphics/dp/B09Q3222GT
 ,Geforce RTX 3080 Ti Graphics Card,"$2,859.99",,Get it ,https://www.amazon.ca/Geforce-RTX-3080-Graphics-Card/dp/B09D3V9TWZ
ASUS,"ASUS ROG Strix NVIDIA GeForce RTX 3060 V2 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.7-Slot, Super Alloy Power II, GPU Tweak II)",$799.99,,Get it ,https://www.amazon.ca/GeForce-Graphics-DisplayPort-Axial-tech-2-7-Slot/dp/B0985Z47C8
EVGA,"EVGA GeForce RTX 3060 Ti FTW Ultra Gaming, 08G-P5-3667-KL, 8GB GDDR6, iCX3 Cooling, ARGB LED, LHR","$1,129.99","$1,199.99",Get it ,https://www.amazon.ca/EVGA-GeForce-Gaming-08G-P5-3667-KL-Cooling/dp/B097S8BR3C
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3090 OC Edition Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings","$2,957.18",,Get it ,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B08HJGNJ81
ASUS,"ASUS ROG Strix NVIDIA GeForce RTX 3090 Gaming Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-Tech Fan Design, 2.9-Slot","$3,699.99",,Get it by ,https://www.amazon.ca/GeForce-Graphics-DisplayPort-Axial-Tech-2-9-Slot/dp/B08J6GMWCQ
GIGABYTE,Gigabyte GeForce RTX 3080 EAGLE OC 10GB V2 LHR Graphics Card GV-N3080EAGLE OC-10GD V2,"$1,887.85",,Get it ,https://www.amazon.ca/Gigabyte-V2-Graphics-GV-N3080EAGLE-OC-10GD/dp/B09967R8PV
ASUS,ASUS NVIDIA GeForce RTX 3060 Ti V2 Mini LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,$975.00,"$1,271.15",Get it ,https://www.amazon.ca/NVIDIA-GeForce-Overclocked-Dual-Fan-Graphics/dp/B09NGMYMT6
